条目编号	标题	处理类型	修改前	修改后	次数	上下文
629	赛尔·瓦努斯 Sire Vanus	恢复英文词间空格	the	the 	1	e of Terrahe allied with Master of theChosen of Malcador,Khalid Hassan, a
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	Adreen was the both theLord Commander Militantof theImperi
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	 both theLord Commander Militantof theImperial Armiesand aHigh Lord of Te
630	阿德林 Adreen	恢复英文词间空格	a	a 	1	r Militantof theImperial Armiesand aHigh Lord of Terra, during the late
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	"f Terra, during the later years of theHorus Heresy.

在荷鲁斯叛乱的后期，阿德林既是帝国军队的"
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	h Lords during the early stages of theSiege of Terra. During the meeting 
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	ncerned by Dorn's decision to keep theLegiones Astartesat the Palace, Adr
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	sat the Palace, Adreen agreed with thePrimarch's decision, arguing that t
630	阿德林 Adreen	恢复英文词间空格	of	of 	1	"would defend the other settlements ofTerrafrom the Traitor Army.

阿德林出现在"
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	erve as Lord Commander Militant on theGrand Council of Reconstructionduri
630	阿德林 Adreen	恢复英文词间空格	the	the 	1	nd Council of Reconstructionduring theScouring, though the newImperial Na
630	阿德林 Adreen	恢复英文词间空格	by	by 	1	" the newImperial Navywas commanded byLord High AdmiralNiora Su-Kassen.

"
630	阿德林 Adreen	恢复英文词间空格	Astartesat	Astartes at	1	rn's decision to keep the Legiones Astartesat the Palace, Adreen agreed with the
630	阿德林 Adreen	恢复英文词间空格	Terrafrom	Terra from	1	"ld defend the other settlements of Terrafrom the Traitor Army.

阿德林出现在泰拉围城早期的一次"
630	阿德林 Adreen	恢复英文词间空格	Navywas	Navy was	1	e Scouring, though the newImperial Navywas commanded by Lord High AdmiralNior
633	考斯韦恩 Corswain	恢复英文词间空格	a	a 	1	"> ""I left my sword in aPrimarch’sSpine.""
> “我把剑留在了一个原体的脊椎里"
633	考斯韦恩 Corswain	恢复英文词间空格	a	a 	1	orswain, the Hound of Caliban, was aLord Commanderand the Captain-Palad
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	Commanderand the Captain-Paladinof theDark Angels' 9th Order during theGr
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	f theDark Angels' 9th Order during theGreat CrusadeandHorus Heresy, later
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	"orus Heresy, later commanding half theLegionasThe Lion'sSeneschal.

考斯韦恩，"
633	考斯韦恩 Corswain	恢复英文词间空格	on	on 	1	"eat Crusade 大远征

Corswain was born onCalibanbut was not inducted intoThe"
633	考斯韦恩 Corswain	恢复英文词间空格	into	into 	1	born onCalibanbut was not inducted intoThe Order. He was uniquely placed t
633	考斯韦恩 Corswain	恢复英文词间空格	under	under 	1	its formation into the Dark Angels underLion El'Jonson's leadership. He was
633	考斯韦恩 Corswain	恢复英文词间空格	under	under 	1	ecame the Paladin of the 9th Order underMasterAlajosduring theGreat Crusade
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	 9th Order underMasterAlajosduring theGreat Crusade. The finest swordsman
633	考斯韦恩 Corswain	恢复英文词间空格	of	of 	1	"putation grew similar to the likes ofRaldoronandSigismund.

在大远征期间，考斯韦恩成"
633	考斯韦恩 Corswain	恢复英文词间空格	on	on 	1	 he disobeyed his orders to remain onCalibanin order to aidHorusatZaramu
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	"sade 萨拉玛斯远征

After the outbreak of theHorus Heresy, Corswain fought along"
633	考斯韦恩 Corswain	恢复英文词间空格	his	his 	1	 Heresy, Corswain fought alongside hisPrimarchLion El'Jonsonagainst theNi
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	e hisPrimarchLion El'Jonsonagainst theNight Lordsin theThramas Crusade. O
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	 El'Jonsonagainst theNight Lordsin theThramas Crusade. OnTsagualsa, Corsw
633	考斯韦恩 Corswain	恢复英文词间空格	On	On 	1	eNight Lordsin theThramas Crusade. OnTsagualsa, Corswain and Alajos acco
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	swain was made Seneschaland, after theBattle of Perditus, given command o
633	考斯韦恩 Corswain	恢复英文词间空格	his	his 	1	minateFirst CaptainCalas Typhonand hisDeath Guardsplinter fleet while the
633	考斯韦恩 Corswain	恢复英文词间空格	to	to 	1	Lion travelled with the other half toUltramar. Sustaining heavy casualti
633	考斯韦恩 Corswain	恢复英文词间空格	at	at 	1	her and his secretlyFallenwarriors atZaramund, unaware that Luther hadju
633	考斯韦恩 Corswain	恢复英文词间空格	of	of 	1	d was secretly harboring the fleet ofDeath Guardwhich Corswain was pursu
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	"拉围城

Corswain next appeared during theSiege of Terra, arriving at the edg"
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	 of Terra, arriving at the edge of theSol Systemto rendezvous withAdmiral
633	考斯韦恩 Corswain	恢复英文词间空格	with	with 	1	edge of theSol Systemto rendezvous withAdmiralNiora Su-Kassenand thePhalan
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	vous withAdmiralNiora Su-Kassenand thePhalanxand proclaimed his forces we
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	his forces were ready to fight for theEmperor.Hiding at the edges of the 
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	 to take part in the battle. Using theImperator Somnium, Corswain was abl
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	k the traitor blockade and land on theHollow Mountain.The Dark Angels fou
633	考斯韦恩 Corswain	恢复英文词间空格	of	of 	1	the complex occupied by the forces ofChaos, and he was nearly overcome b
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	aos, and he was nearly overcome by theDaemonVassukella.Saved byVassago, C
633	考斯韦恩 Corswain	恢复英文词间空格	by	by 	1	rcome by theDaemonVassukella.Saved byVassago, Corswain expressed his int
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	"expressed his intent to reactivate theAstronomican.

考斯韦恩随后出现在泰拉围城中，抵达太阳系"
633	考斯韦恩 Corswain	恢复英文词间空格	Guardwhich	Guard which	1	retly harboring the fleet of Death Guardwhich Corswain was pursuing. Luther dece
633	考斯韦恩 Corswain	恢复英文句间空格	.In	. In	1	two Dark Angels ever to best Alajos.In time his reputation grew similar t
633	考斯韦恩 Corswain	恢复英文句间空格	.Ho	. Ho	1	h transports to bring reinforcement.However these reinforcements never ar
633	考斯韦恩 Corswain	恢复英文句间空格	.Hi	. Hi	1	were ready to fight for the Emperor.Hiding at the edges of the Sol System
633	考斯韦恩 Corswain	恢复英文句间空格	.Th	. Th	1	ade and land on the Hollow Mountain.The Dark Angels found the complex occ
633	考斯韦恩 Corswain	恢复英文句间空格	.Sa	. Sa	1	ly overcome by the DaemonVassukella.Saved by Vassago, Corswain expressed 
633	考斯韦恩 Corswain	恢复英文词间空格	of	of 	1	s horrified to learn of the murder ofVassagobut faced more pressing matt
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	but faced more pressing matters as theDeath GuardunderTyphusmoved in to r
633	考斯韦恩 Corswain	恢复英文词间空格	by	by 	1	nebut was wounded. He was steadied byZahariel El'Zurias, who had taken t
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	urias, who had taken the mantle of theLord Cypher.In the subsequent battl
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	smund, Corswain led the defence of theHollow Mountain, coming into person
633	考斯韦恩 Corswain	恢复英文词间空格	with	with 	1	ain, coming into personal conflict withTyphus. All seemed lost untilEuphra
633	考斯韦恩 Corswain	恢复英文词间空格	to	to 	1	s and giving the location of Terra toGuilliman's fleet of reinforcements
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	e similarly appointedArchamus IIof theImperial FistsandBjornof theSpace W
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	s IIof theImperial FistsandBjornof theSpace Wolvesto initiateRogal Dorn's
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	eresy to return to Caliban. During theDestruction of Caliban, he was amon
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	make planetfall and do battle with theFallen.During the battle, Corswain 
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	"tle, Corswain cornered and duelled theLord Cypher.

考斯韦恩在叛乱中幸存下来，回到了卡利班。在"
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	ng the fall of Caliban is known as theBlade of Corswain, presented as the
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	 honour to the finest swordsman in theRavenwing.He also lends his name to
633	考斯韦恩 Corswain	恢复英文词间空格	the	the 	1	avenwing.He also lends his name to theLost Mace of Corswain, a relic powe
633	考斯韦恩 Corswain	恢复英文词间空格	Marinebut	Marine but	1	red, Corswain slew a hulkingPlague Marinebut was wounded. He was steadied by Za
633	考斯韦恩 Corswain	恢复英文句间空格	.In	. In	1	taken the mantle of the Lord Cypher.In the subsequent battle, the Dark An
633	考斯韦恩 Corswain	恢复英文句间空格	.He	. He	1	united with Lion El'Jonson on Terra.He then became The Lion's emissary, w
633	考斯韦恩 Corswain	恢复英文句间空格	.Du	. Du	1	tfall and do battle with the Fallen.During the battle, Corswain cornered 
633	考斯韦恩 Corswain	恢复英文句间空格	.He	. He	1	e finest swordsman in the Ravenwing.He also lends his name to the Lost Ma
636	阿斯莫代 Asmodai	删除误重复字	事实上的的战士和	事实上的战士和	1	
640	福格瑞姆 Fulgrim	恢复英文句间空格	.Th	. Th	1	ame painting he had been trapped in.This was only revealed to his Legion 
659	罗格·多恩 Rogal Dorn	恢复英文句间空格	.In	. In	1	ter as Emperor of the House of Dorn.Intrigued by the enormous station kno
659	罗格·多恩 Rogal Dorn	恢复英文句间空格	.Th	. Th	1	*, the seventh Primarch to be found.The Emperor welcomed Dorn, and return
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	Sigismund was theMarshalof theTemplars, theFirst Cap
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	Sigismund was theMarshalof theTemplars, theFirst Captainof theImp
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	mund was theMarshalof theTemplars, theFirst Captainof theImperial FistsLe
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	of theTemplars, theFirst Captainof theImperial FistsLegionduring theGreat
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	inof theImperial FistsLegionduring theGreat Crusade, and right-hand man t
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	eat Crusade, and right-hand man to hisPrimarchRogal Dorn. During theHorus
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	n to hisPrimarchRogal Dorn. During theHorus Heresy, Dorn appointed Sigism
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	firstEmperor's Champion, to defend theImperial Palaceduring theBattle of 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	to defend theImperial Palaceduring theBattle of Terra. After the Heresy, 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	"he founder and firstHigh Marshalof theBlack TemplarsChapter.

西吉斯蒙德是圣殿骑士的"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	" 早期生活**

Sigismund was born during theUnification WarsonTerra, within a c"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	an and eventually found himself in theIonus Plateau's refugee camp. Short
660	西吉斯蒙德 Sigismund	恢复英文词间空格	named	named 	1	hat were protected by a young girl namedThera. She defended the orphans fro
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	mp's gangs and during an attack by theCorpse Kings, she used a metal bar 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	smund later became Space Marine of theImperial FistsLegion and he continu
660	西吉斯蒙德 Sigismund	恢复英文词间空格	an	an 	1	out his service to the Imperium.As anAspirantSigismund would come to mee
660	西吉斯蒙德 Sigismund	恢复英文词间空格	an	an 	1	"

Sometime later, Sigismund became anImperial Fistand 12 years after he "
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	Fistand 12 years after he defeated theCorpse Kings, he was selected to jo
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	pse Kings, he was selected to join theLegion'sTemplar Brethren. Sigismund
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	step backwards, in their fight for theImperium, but each had their own re
660	西吉斯蒙德 Sigismund	恢复英文词间空格	from	from 	1	were too weak to defend themselves fromMankind's foes. This answer satisfi
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.As	. As	1	oughout his service to the Imperium.As an AspirantSigismund would come to
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	nks and when a newFirst Captainfor theTemplarswas needed, Sigismund put h
660	西吉斯蒙德 Sigismund	恢复英文词间空格	a	a 	1	pon Master was now interred within aContemptor Dreadnoughtand Sigismund
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	igismund defeated 200 Templars and hisPrimarch,Rogal Dorn, was there to w
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	t as if he could taste the dust of theIonus plateau. Sigismund then began
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	"握着统御君主跪下，闭上眼睛，然后将额头放在动力剑上。

During theAstranii Campaign, Sigismund was th"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	an ambush early in the conflict by theAstranii Machine Empire. After resc
660	西吉斯蒙德 Sigismund	恢复英文词间空格	as	as 	1	ishing for their total destruction asHeretekswhile the latter wished for
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	"这样做。费鲁斯同意了，命令托斯屈服。

After becoming theTemplars'First Captain, Sigismund a"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	an	an 	1	rst Captain, Sigismund also became anAdjutantto hisPrimarchRogal Dorn, d
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	Sigismund also became anAdjutantto hisPrimarchRogal Dorn, during theGreat
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	ntto hisPrimarchRogal Dorn, during theGreat Crusade.As the Great Crusade 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	old, realist view of the future of theImperium. While conversing with Cap
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	sGarviel LokenandTarik Torgaddonof theLuna Wolves, he stated his belief t
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	"的欲望也是无限的。*

At some point prior to theHorus Heresy, theImperial FistsandW"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	me point prior to theHorus Heresy, theImperial FistsandWorld Eatersserved
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	ges of the World Eaters' flagship, theConqueror, that Sigismund earned th
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	"斗后）。这一习惯后来被黑色圣堂成员采用。

Later during theCherautcampaign, Sigismund alongsid"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	orrified by the brutal behavior of theNight Lords. After a heated verbal 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	surprise blow which was blocked by theCaptain. Sigismund and Sevatar subs
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	Rogal Dorn in a boarding action on theEisenstein, under the command ofBat
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	n theEisenstein, under the command ofBattle-CaptainNathaniel Garroof the
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	 ofBattle-CaptainNathaniel Garroof theDeath Guard, bringing word ofHorus’
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	"roof theDeath Guard, bringing word ofHorus’s rebellion.

西吉斯蒙德率领战士小队，在死亡"
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.As	. As	1	ogal Dorn, during the Great Crusade.As the Great Crusade was fought, Sigi
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Th	. Th	1	fter a duel with the PrimarchAngron.This custom would later be adopted by
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	", right arm"" to go on a mission to theIsstvan Systemto assist any survivi"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	at	at 	1	o secure resources from the forges atMondus OcculamandMondus GammaonMars
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	e planet. Upon hearing the news of theIsstvan VMassacre, Dorn ordered Sig
660	西吉斯蒙德 Sigismund	恢复英文词间空格	to	to 	1	"中所有叛徒军团的残余。

Soon after his return toTerra, Sigismund confessed to Dorn "
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	mmand of the outermost defences of theSol Systemduring theSolar War. He l
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	st defences of theSol Systemduring theSolar War. He led a fleet which bat
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	 War. He led a fleet which battled theAlpha Legionduring theBattle of Plu
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	hich battled theAlpha Legionduring theBattle of Pluto.During the final ph
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	se of the Solar War shortly before theSiege of Terra, Sigismund commanded
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	nst a massive traitor assault from theFrigateLachrymae. During this secon
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	the*Lachrymae*. During the battle, hisTemplarsfought alongside him agains
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	with Dorn as he battledSamusaboard thePhalanx. Together, they moved to Te
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	"，为荷鲁斯的最后一次进攻做准备。

Terra 泰拉

During theSiege of TerraSigismund acted as a "
660	西吉斯蒙德 Sigismund	恢复英文词间空格	with	with 	1	nder Dorn's close scrutiny. He met withEuphrati Keelerinside theImperial P
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	. He met withEuphrati Keelerinside theImperial Palace, who stated that th
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	er to prevent the ultimate victory ofChaos.This prophecy tempted Sigismu
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	ismund later during the battle for theLion's Gate Spaceport, where he saw
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	d had to chose between challenging theSons of HorusFirst Captainor instea
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	r, who was surging with the powers ofKhorne. Sigismund faced defeat, but
660	西吉斯蒙德 Sigismund	恢复英文词间空格	for	for 	1	orn himself.Later during the fight forSaturnine Gate, Sigismund led the d
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	 of the walls against the whole of theEmperor's Children. During the figh
660	西吉斯蒙德 Sigismund	恢复英文词间空格	by	by 	1	. During the fight he was assailed byFulgrimhimself, proving skilled as 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	 a fight but utterly outmatched by theDaemon Primarch. As Fulgrim moved t
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	he Siege Sigismund became known as theEmperor's Championand was a hero to
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	 death wherever he could. Wielding hisBlack Swordgiven to him at the Empe
660	西吉斯蒙德 Sigismund	恢复英文词间空格	as	as 	1	ers, Sigismund slew such champions asIndras Archetaof theSons of Horusan
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	 such champions asIndras Archetaof theSons of Horusand evenKhârnof theWor
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	of theSons of Horusand evenKhârnof theWorld Eaters.After besting Khârn, S
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	baddon.When Rogal Dorn accompanied theEmperor of MankindandSanguiniusin b
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	d Rann both then became held up in theBhab Bastionas it was besieged by t
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	eelerand her refugees from a group ofSons of Horus.Sigismund led the par
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	f Horus.Sigismund led the party to theHollow Mountain, slaying the Death 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	and	and 	1	alongsideCorswain,The Lord Cypher, andDark Angelsagainst a furious Death 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	by	by 	1	" a furious Death Guard assault led byTyphus.

巴布堡垒陷落后，西吉斯蒙德带领他的圣殿骑士和其他疯狂"
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	e Death Guard but also reactivated theAstronomican.Immediately following 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	egan a hunt to track down and kill theSons of HorusFirst CaptainEzekyle A
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	Siege of Terra and commencement of theGreat Scouring, Sigismund immediate
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	urge against remaining Traitors in theSol System, slaughtering them all t
660	西吉斯蒙德 Sigismund	恢复英文词间空格	to	to 	1	tem, slaughtering them all the way toJupiterbefore contact with reestabl
660	西吉斯蒙德 Sigismund	恢复英文词间空格	under	under 	1	eestablished with the wider Legion underArchamus II. He urged Archamus that
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	und was a mighty warrior and after theHorus Heresyand the breakdown of th
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	heHorus Heresyand the breakdown of theImperial FistsintoCodex Chapters, h
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	e zealous of the Imperial Fists as theBlack Templarschapter and was eleva
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	apter and was elevated to the rank ofHigh Marshalof the Black Templars. 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	heretics for their refusal to back theCodex Astartesand break down into s
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Legionduring	Legion during	1	ed a fleet which battled the Alpha Legionduring the Battle of Pluto.During the fin
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Fulgrimhimself	Fulgrim himself	1	uring the fight he was assailed by Fulgrimhimself, proving skilled as a fight but ut
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Horusand	Horus and	1	ns as Indras Archetaof the Sons of Horusand evenKhârnof the World Eaters.After
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Heresyand	Heresy and	1	mighty warrior and after the Horus Heresyand the breakdown of the Imperial Fist
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Astartesand	Astartes and	1	or their refusal to back the Codex Astartesand break down into smaller Chapters. 
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Du	. Du	1	oyalists and evaluate the situation.During the time Dorn spent in isolati
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.En	. En	1	Mondus OcculamandMondus GammaonMars.Enemy resistance was too intense to m
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Du	. Du	1	a Legion during the Battle of Pluto.During the final phase of the Solar W
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Th	. Th	1	event the ultimate victory of Chaos.This prophecy tempted Sigismund later
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.La	. La	1	feat, but was saved by Dorn himself.Later during the fight for Saturnine 
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Af	. Af	1	us and evenKhârnof the World Eaters.After besting Khârn, Sigismund expres
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Wh	. Wh	1	ht out First CaptainEzekyle Abaddon.When Rogal Dorn accompanied the Emper
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Si	. Si	1	e ground forces until Dorn returned.Sigismund and Rann both then became h
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Si	. Si	1	ugees from a group of Sons of Horus.Sigismund led the party to the Hollow
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Af	. Af	1	ath Guard commanderSkulidas Gehrerg.After arriving at their new refuge, w
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Im	. Im	1	t also reactivated the Astronomican.Immediately following the battle, Sig
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.He	. He	1	ion and hid her away to protect her.He and his Templar Brethren then bega
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Si	. Si	1	ore cautious consolidation strategy.Sigismund's zealous crusade was proud
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	rror.He was not believed though by theHigh Lords of Terraand many other l
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	ignificant Black Templars fleet to theCadian Gate, where they maintained 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	hem and one such ship crashed into theBlack Legionheld world ofMaeleum.Th
660	西吉斯蒙德 Sigismund	恢复英文词间空格	of	of 	1	hed into theBlack Legionheld world ofMaeleum.This set into motion events
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	acked the Black Templars' fleet in theFirst Battle of Cadia. At this time
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	band boarded Sigismund's flagship, theEternal Crusader, during the battle
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	hough, Abaddon found Sigismund and hisSword Brethrenfighting within a lar
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	apons, but Sigismund did not wield theSword of the High Marshalsand inste
660	西吉斯蒙德 Sigismund	恢复英文词间空格	his	his 	1	igh Marshalsand instead unsheathed hisBlack Sword. The Sword of the High 
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	addon retaliated with a swing from theTalon of Horusthat severed the High
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	r LordThagus Daravek, commander of theLegion Hostand main rival for Abadd
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	 Daravek was killed while boarding theVengeful Spirit, which caused his W
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	tion, feeds, and recording pics of theFirst Battle of Cadia. As the slave
660	西吉斯蒙德 Sigismund	恢复英文词间空格	the	the 	1	apphire blue. Sigismund also bears theRaptor Imperialison the knee of his
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Terraand	Terra and	1	lieved though by the High Lords of Terraand many other leaders within the Impe
660	西吉斯蒙德 Sigismund	恢复英文词间空格	Horusthat	Horus that	1	ted with a swing from the Talon of Horusthat severed the High Marshal into two 
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.He	. He	1	s had fled within the Eye of Terror.He was not believed though by the Hig
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.No	. No	1	ined a vigil over the Eye of Terror.Not content to merely wait for the Tr
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Th	. Th	1	e Black Legionheld world of Maeleum.This set into motion events that woul
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.Af	. Af	1	Marshal of the Black Templars, died.Afterwards, Abaddon's Warband gathere
660	西吉斯蒙德 Sigismund	恢复英文句间空格	.He	. He	1	ace. His build was thick and sturdy.He is described as having a face that
660	西吉斯蒙德 Sigismund	恢复英文词间空格	with	with 	1	literemarked on it in conversation withRogal Dorn.He was also known for hi
