段落ID,篇号,原译,校订译文,说明
A0458-B0005,458,科拉克斯在被帝皇发现之前就已经成立，当时他正在领导利卡埃乌斯世界的奴隶起义，尽管他的副手警告说他的敌人可能会试图暗杀他，但他还是不愿意允许该部队的组建。最后，科拉克斯同意了，这些战士不仅与科拉克斯一起在利卡埃乌斯战役中服役，而且后来被编入暗鸦守卫星际战士军团，在那里他们继续在原体身边服役。暗影监察者以他们的隐秘和化为无形的能力而闻名，他们总是站在原体一边。,这支部队在帝皇寻获科拉克斯之前便已组建，当时他仍在吕凯乌斯领导奴隶起义。尽管副手警告敌人可能行刺，科拉克斯起初仍不愿设立专门卫队，最终才同意。他们先在吕凯乌斯随他作战，后来被编入暗鸦守卫星际战士军团，继续守护原体。暗影守望以高超潜行能力闻名，即使时刻伴随科拉克斯，也能不被旁人察觉。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0458-B0007,458,Shadow Wardens squad 暗影监察者小队,Shadow Wardens squad 暗影守望小队,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0458-B0009,458,暗影监察者在登陆点大屠杀中损失惨重，但他们的连长格里瑟·阿伦迪等一些人幸存下来。在雅兰特战役前不久，精疲力尽的暗影监察者被重组为黑色守卫，后来成为二次建军战团。,暗影守望在登陆点大屠杀中损失惨重，但连长格里思·阿伦迪等人幸存。雅兰特之战前不久，兵力严重不足的卫队被重组为黑色守卫，后来发展为第二次建军中的一个战团。,depleted 是兵员折损、缺编，不是疲惫。
A0458-B0010,458,Notable Shadow Wardens 著名暗影监察者,Notable Shadow Wardens 著名暗影守望,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0458-B0012,458,格里瑟·阿伦迪 — 连长,格里思·阿伦迪——连长。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0459-B0002,459,摩尔戴斯是大远征和荷鲁斯叛乱时期暗鸦守卫的精英步兵。,摩尔戴斯是大远征和荷鲁斯之乱时期暗鸦守卫的精英步兵。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0459-B0005,459,非正式称为“暗影大师”，这些人是军团中的一小群渗透小队，以其战术技巧而闻名。每个人都是莱肯起义的老兵，自己也在科拉克斯身边作战。当人类帝皇抵达拯救星时，他认为许多与儿子并肩作战的叛军值得转变为星际战士，并帮助提醒科拉克斯他是一名革命者和自由战士。,他们也非正式地称为“暗影大师”，是军团中数量不多的渗透小队；即使在本就擅长潜行的暗鸦守卫中，也享有盛名。成员都是吕凯乌斯起义的老兵，曾与科拉克斯本人并肩作战。帝皇来到拯救星后，认为许多曾追随其子嗣的起义军都值得改造为星际战士；他们也不断提醒科拉克斯，莫忘自己曾是革命者与自由斗士。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0459-B0009,459,在荷鲁斯叛乱开始时，经过八十年的持续战争，摩尔戴斯的人数很少，也很少有新兵加入他们的队伍。剩下的大多数人都是头发花白的老兵，他们擅长在阴影中默默地移动，并在最佳时机发起进攻。他们使用了一系列专业设备。然而，有传言说，他们拥有原体的隐形能力。,荷鲁斯之乱开始时，经过八十年不间断战争，摩尔戴斯已寥寥无几，且很少接纳新兵。幸存者大多是久经风霜的老兵，精于无声穿行阴影，并在最佳时机发起攻击。他们使用多种专用装备；也有传言称，他们继承了原体近乎隐形的能力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0459-B0011,459,到了M42，摩尔戴斯的能力在从原铸手术进化而来的星际战士中变得极其罕见。然而，在大裂隙使帝国被敌人包围后，暗鸦守卫的战团长凯万·史瑞克恢复了摩尔戴斯，以帮助推翻这些威胁。不过，到目前为止，在重新建立的秩序中，他们只有四名成员。,到了第四十二个千年，在科拉克斯血脉的星际战士中，摩尔戴斯所拥有的能力已极其罕见。然而，大裂隙让帝国陷入群敌环伺的困境后，时任暗鸦守卫战团长凯万·史瑞克重建了这支部队，以协助消除威胁。原文记载时，重建后的摩尔戴斯仅有四名成员。,descended from the Primarch Corax 指继承科拉克斯血脉，原译“从原铸手术进化而来”完全误解，已恢复。
A0460-B0002,460,黑暗狂怒是大远征和荷鲁斯叛乱时期的暗鸦守卫的快速攻击步兵部队。,黑暗狂怒是大远征和荷鲁斯之乱时期的暗鸦守卫的快速攻击步兵部队。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0460-B0006,460,暗鸦守卫利用这些特殊突击队在战斗中对特定的敌方领导人进行集中斩首打击。他们远非狡猾的刺客，而是直接潜入战斗之中。他们的小队领导者，被称为择杀者，与目标交战，而战士们则消灭了任何试图干预的随从。这些小队装备了闪电爪，这些闪电爪是根据他们的原体科沃斯·科拉克斯携带的闪电爪制成的，而择杀者则被授予了精工盔甲。,暗鸦守卫利用这些特殊突击小队，在战场上对特定敌方首领实施精准斩首。他们并非悄然行刺，而是直接降入激战中心。小队指挥者称为“择杀者”，负责迎击目标，其余战士则斩杀任何试图插手的扈从。小队配备仿照原体科沃斯·科拉克斯武器制成的闪电爪，择杀者还另获精工护甲。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0460-B0010,460,这些小队经常从暗翼或低语者飞艇上部署，带着无声的跳跃背包从高处跳下，向敌人扑去。,他们通常搭乘暗翼或低语切割者飞行器出击，凭借经过消音处理的跳跃背包从高空跃下，直扑敌人。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0461-B0002,461,暗影鸟是大远征和荷鲁斯叛乱时期的暗鸦守卫飞行员，他们以能够避开除最复杂的防御网络之外的所有防御网络而闻名。,暗影鸟是大远征与荷鲁斯之乱时期的暗鸦守卫飞行员，擅长隐蔽飞行；除了最精密的防空探测网络，几乎没有什么能发现他们。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0002,462,死亡守望是一个独特的、经过专门训练的星际战士战团，每小时都致力于狩猎异型。,死亡守望是一个独特的星际战士战团，接受专门训练，时刻以猎杀异形为使命。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0005,462,他们被称为杀戮之盾，是攘外修会的军事辅军，负责保护它搜索信息、遏制和最终摧毁所有异型物种。死亡守望由来自多个战团的战斗兄弟组成，在整个帝国的守望堡垒和守望空间站运作。,他们被称为“杀戮之盾”，是异形审判庭的军事分支，负责在其搜集情报、遏制威胁并最终消灭各异形种族的过程中提供武力保护。成员来自众多战团，以遍布帝国的守望堡垒与守望站为据点行动。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0009,462,建军战团：无，成员来自几个不同的战团。,起源战团：无，成员由多个不同战团选派。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0013,462,战团长：未知，第一任战团长被称为守望指挥官，但如今有多个头衔持有者,战团长：不明。首任战团长称为守望指挥官；原文记载时，已有多人各自持有这一头衔。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0015,462,家园世界：塔拉萨一号,母星：塔拉萨主星,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0017,462,堡垒修道院：塔拉萨一号的审判庭堡垒,要塞修道院：塔拉萨主星的审判庭堡垒。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0019,462,颜色：黑色盔甲，左臂银色。右肩符合起源战团。,配色：黑色护甲，左臂为银色；右肩保留原属战团标识。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0021,462,专业：反异型战争,专长：反异形作战。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0023,462,力量：未知,兵力：不明。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0025,462,"战吼：“异型无存”Rather than following the standard Codex Astartes organization, the Space Marines themselves are drawn from many different chapters. These chapters have sworn sacred oaths to raise a unit of Space Marines specifically for this task. The warriors are then gathered together to fight where and when they are needed. Giant fortresses orbit desolate worlds at the edge of the galaxy, keeping constant vigil over possible xenos forces. There are also several secret bases spread throughout the Imperium, which provide a launch site for their crusades.并没有遵循标准的圣典阿斯塔特组织，星际战士来自许多不同的战团。这些战团宣誓成立一支专门负责这项任务的星际战士。然后，战士们聚集在一起，在需要的时间和地点作战。巨大的堡垒围绕银河系边缘的荒凉世界运行，对可能的异型部队保持警惕。帝国中还有几个秘密基地，为他们的远征提供了发射场。","战吼：“异形无存”

Rather than following the standard Codex Astartes organization, the Space Marines themselves are drawn from many different chapters. These chapters have sworn sacred oaths to raise a unit of Space Marines specifically for this task. The warriors are then gathered together to fight where and when they are needed. Giant fortresses orbit desolate worlds at the edge of the galaxy, keeping constant vigil over possible xenos forces. There are also several secret bases spread throughout the Imperium, which provide a launch site for their crusades.

死亡守望并不采用标准的《阿斯塔特圣典》组织形式，而是从许多不同战团征调星际战士。这些战团立下神圣誓言，专门为此提供部队。战士随后汇集，在需要的时间与地点投入战斗。巨大的堡垒环绕银河边缘的荒凉世界，持续警戒可能出现的异形威胁。帝国境内还散布着若干秘密基地，作为其远征的出发地。",对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0029,462,参加战斗的战士有幸将他们的盔甲涂成黑色（以显示他们对帝皇的服务），同时留下一个肩甲，上面有这位战士来自的那一战团的原始徽章。虽然盔甲被漆成黑色，但它不会永远都漆成黑色的，因为这种行为会玷污盔甲的机魂。他们还配备了一个新的肩甲，肩甲的另一侧有死亡守望的象征。一旦加入死亡守望，服役时间没有固定的长度，而是指挥官认为必要的时间。每个星际战士可能服役于一段离散的时间，或者在任务的持续时间内服役，这可能是几年。任务完成后，星际战士被允许在宣誓保持沉默的情况下返回他的战团，因为他们的职责已经履行完毕。一名星际战士参加死亡守望的时间差异很大。它可以持续一次任务，几十年，甚至几个世纪。他的服役时间取决于许多因素，其中最重要的是他的守望堡垒的迫切需求。,加入死亡守望的战士获准将护甲涂黑，以象征为帝皇效力，同时在一侧肩甲上保留原属战团的徽记。护甲绝不能全部涂黑，否则便会冒犯机魂；另一侧肩甲则更换为带有死亡守望徽记的新肩甲。服役期没有统一期限，由指挥官按需要决定。战士可能服役一段指定时间，也可能执行一项持续数年的任务。职责完成后，他们立下保密誓言，便可返回原战团。实际服役期可能只有一次任务，也可能长达数十年乃至数百年，取决于多种因素，尤其是所属守望堡垒的即时需要。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0031,462,死亡守望的命令不仅仅是对异型文化的清洗。它们还包括外星设备和造物的恢复和研究。有时，有必要对制造武器的敌人使用武器，尽管这并不是一件轻而易举的事。死亡守望时刻警惕蓄意破坏，或建议使用异型来源的武器是否真的安全。机械神教一直在寻找外星技术；卡利都司刺客使用的星神相位剑从死灵墓穴世界中被发现，并成功地融入了帝国的武器库。,死亡守望的职责不限于摧毁异形文明，也包括回收与研究异形设备和造物。有时必须以敌人制造的武器反击其自身，但这种决定从不轻率作出。死亡守望要防范暗藏的破坏手段，并判断异形武器能否安全使用。机械修会同样一直搜寻异形技术：卡利都司刺客使用的星神相位剑，便是从太空死灵墓穴世界中取回，并成功纳入帝国武库的成果。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0033,462,通常，死亡守望小队由审判官领导，但在极端情况下，死亡守望连长或智库可能会指挥该小队。他们的话就是法律，可以要求任何他们想要的东西来完成他们的目标。他们是帝国中装备最精良、训练有素的部队。他们可能被部署在传统方法不足的地区，或者如果可用的部队没有适当的装备或训练来执行任务。死亡守望小队的存在总是受到欢迎，尽管所有知道他们的人都害怕他们。,通常，死亡守望小队由审判官指挥，极端情况下也可由死亡守望连长或智库员接掌指挥权。指挥者之言即为法令，为完成任务可以征调所需资源。这些部队是帝国中装备最精良、训练最有素的力量之一，常被派往常规手段无效，或现有部队装备与训练不足以胜任任务的战区。尽管知晓死亡守望之人无不敬畏，他们的到来仍总是受到欢迎。,本段说通常由审判官指挥、连长仅极端情况接掌；下文常态编制则由守望指挥官及守望连长负责。原稿汇集不同表述，未将其改写为统一制度。
A0462-B0036,462,死亡守望的种子最早是在野兽战争期间播下的，当时一位只被称为野兽的强大战争头目几乎摧毁了帝国。战争期间，帝国领主指挥官兼帝国之拳战团长库兰德意识到，需要阿斯塔特的小型杀戮小队来消灭野兽和关键战略资产。由于需要经验，并且知道在如此短的时间内无法进行新的建军，新兵将从现有的众多战团中招募。尽管泰拉高领主们不愿意批准这支部队的创建，但绝望迫使他们采取行动。最初的新兵来自库兰德入侵乌兰诺的幸存者部队，阿斯塔特损失惨重。因此，为了纪念他们死去的兄弟，死亡守望应运而生。他们的第一个任务是消灭困扰泰拉的欧克战斗月亮。在第二次入侵乌兰诺试图杀死野兽之前不久，库兰德与审判庭代表维南德达成了一项权力分享协议，试图避免与多疑的泰拉高领主发生危机。双方同意，死亡守望将属于审判庭的职权范围，但一名星际战士将担任战团长。死亡守望的第一任战团长，被称为守望指挥官，是阿斯格·战拳。,死亡守望的起源可追溯至野兽战争。当时，一位只以“野兽”为名的强大欧克战争头目，几乎摧毁了帝国。帝国最高统帅兼帝国之拳战团长库兰德意识到，必须以小型阿斯塔特杀戮小队，清除野兽及其关键战略目标。行动需要经验丰富的战士，而又不可能短期内完成新的建军，于是成员从多个现存战团中抽调。泰拉高领主虽不愿批准组建，仍在绝境中被迫同意。首批成员来自库兰德进攻乌兰诺时遭到重创的阿斯塔特部队，他们为阵亡兄弟守望，死亡守望由此诞生。首项任务是摧毁威胁泰拉的欧克战斗月亮。第二次进攻乌兰诺、试图击杀野兽之前，库兰德为避免与多疑的高领主陷入危机，同审判庭代表维南德达成权力分享协议：死亡守望归审判庭管辖，但由星际战士担任战团长。首任战团长称为守望指挥官，由阿斯格·战拳出任。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0040,462,旧版本的一篇报告指出，几个世纪前，攘外修会审判官领主的秘会，即奥尔菲特四号的守密秘会，召开了一次会议，目的是制定一项全银河战略，以打击许多攻击人类的异型文明。预见到人类最终将吞噬帝国本身的时代，秘会坐下来进行了多年的辩论。一些人主张消灭所有异型，一些人主张应该“容忍”某些不那么暴力的文明。然而，最终形成了一个策略，秘会要求与许多聚集在一起的阿斯塔特战团长会面。在听取了审判官的请求后，战团长们商议了一个晚上，然后做出了裁决：他们和审判官一起庄严宣誓，组成一个新的战团，这个战团完全来自现有战团的战斗兄弟。联合称之为“死亡守望”，因为它将防范秘会预言的毁灭。,较旧版本另有一种起源说：数个世纪前，异形审判庭的领主审判官们召开“奥尔菲特四号守密秘会”，准备制定覆盖全银河的战略，以应对不断攻击人类的异形文明。他们预见，人类自身终有一日会吞噬帝国。为此，秘会辩论多年：有人主张灭绝所有异形，有人认为应“容忍”某些不那么好战的文明。最终，秘会形成方略，请求与多位阿斯塔特修会战团长会晤。听取请求后，战团长们商议一夜，决定与审判官共同立下庄严誓言，创建一支成员完全来自现存战团的新战团。他们将其命名为“死亡守望”，以抵御秘会预言中的毁灭。,英文确为 mankind would eventually consume the Imperium itself，即“人类将吞噬帝国”；与前后反异形宗旨衔接突兀，疑有源文笔误，未擅自将 mankind 改为 aliens。较旧版本起源说与野兽战争起源并列保留。
A0462-B0042,462,在死亡守望中，螳螂勇士的新兵数量一度仅次于绯红之拳。然而，在巴达布战争之后，由于审判庭认为螳螂勇士在那场冲突中是异端，该战团不会被要求加入死亡观察的行列。这种情况持续了近一百年，直到智库沙伊丹、军士索伦和鲁伊纳斯兄弟被借调到审判官卡利普西亚的死亡守望杀戮小队。然而，螳螂勇士并不是正式的成员，只是弥补了杀戮小队在泰伦伏击赫罗提安四号时所遭受的损失（特别是，这三名成员在这次任务中保持了他们的战团颜色，没有佩戴审判庭或死亡守望的图像）。,螳螂勇士曾向死亡守望输送大量成员，人数仅次于绯红之拳。巴达布战争后，审判庭认为其在战争中的行为属于异端，因此不再邀请该团派员。这种状况持续了近百年，直至智库员沙伊丹、军士索伦与鲁伊纳斯兄弟被借调至卡利普西亚审判官的死亡守望杀戮小队。不过，他们并非正式成员，只是补充该小队在赫罗提安四号遭泰伦伏击后的损失。三人在任务中保留原战团配色，没有佩戴审判庭或死亡守望徽记。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0047,462,野兽战争见证了死亡守望的诞生,544.M32——死亡守望在野兽战争中成立。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0062,462,335.M36 - The Xenarite Schism 异务派分裂,335.M36 - The Xenarite Schism 异技派分裂,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0064,462,119.M37 - The Lok'kroll Xenocide 洛克'克罗尔大屠杀,119.M37 - The Lok'kroll Xenocide 洛克'克罗尔异形灭绝战,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0066,462,一整个连队的死亡守望未能从否定不朽阴谋团手中保护审判官领主科尔施特,182.M38——一整连死亡守望未能从否定不朽阴谋团手中保住领主审判官科尔施特。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0072,462,黄泉八号上与异务派技术神甫的战争,???.M41——在黄泉八号与异技派技术祭司交战。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0075,462,对戈萨尔五号的四手帝皇教派的清除,681.M41——净化戈萨尔五号的四臂帝皇教派。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0083,462,999.M41 - The Reclamation of Damnos 达姆诺斯收回,999.M41 - The Reclamation of Damnos 收复达姆诺斯,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0085,462,999.M41 - The Second Agrellan Campaign 第二次阿格瑞兰之战,999.M41 - The Second Agrellan Campaign 第二次阿格雷兰战役,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0091,462,在吉尔与基因窃取者教派的战斗,???.M42——在吉尔迎战基因窃取者教派。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0095,462,歌利亚铸造厂之战对抗泰伦,???.M42——歌利亚铸造厂之战，对抗泰伦。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0097,462,???.M42 - The Battle of Paragon III 帕拉贡之战,???.M42 - The Battle of Paragon III 帕拉贡三号之战,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0099,462,与狂喜使者的战斗,???.M42——迎战狂喜使者。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0103,462,???.M42 - The Chalnath Expanse Campaign 查尔纳特扩张战役,???.M42 - The Chalnath Expanse Campaign 查尔纳斯广域战役,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0106,462,"???.M42 - The Invasion of Mordian 莫迪安入侵The Deathwatch has developed several distinct tactical deployments over its long history, developed over its wars against Xenos. These tactical methods are taught at every Watch Fortress and are used to determine the composition and armament of Kill-Teams.在其漫长的历史中，死亡守望已经开发了几种不同的战术部署，这些部署是在与异型的战争中发展起来的。这些战术方法在每个守望要塞都有教授，用于确定杀戮小队的组成和武器。","???.M42 - The Invasion of Mordian 莫迪安入侵

The Deathwatch has developed several distinct tactical deployments over its long history, developed over its wars against Xenos. These tactical methods are taught at every Watch Fortress and are used to determine the composition and armament of Kill-Teams.

死亡守望在漫长的反异形战争中，发展出数种各具特点的战术运用方式。每座守望堡垒都会传授这些方法，并据此决定杀戮小队的人员组成和武器配备。",对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0108,462,Deathwatch battle Eldar 死亡守卫与灵族作战,Deathwatch battle Eldar 死亡守望与灵族作战,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0110,462,天鹰战术是多面手、多才多艺的战术。当敌方部队的确切性质未知时，无论是因为缺乏收集对手信息的机会，还是因为死亡守望面临新发现的异型物种或品种，都会使用这些方法。,天鹰战术通用而灵活，适用于尚不清楚敌人确切性质的情况：可能是缺乏搜集情报的机会，也可能是遇到了新发现的异形种族或变体。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0112,462,统御战术旨在直接对抗敌方最精锐的战士，旨在剥夺他们的关键资源。,统御战术直接针对异形敌军最精锐的战士，旨在剥夺敌方这一关键战力。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0114,462,狂热战术涉及在广阔的战线上发射爆炸性的火力。敌人的尸体集中在拥挤的敌人身上，减缓了后面敌人的前进速度。它们是由维瑞迪姆小队在野兽战争期间开发的，用于对抗成群的兽人，但此后被用作对抗许多敌人的反群战术，最著名的是泰伦。,狂热战术将爆炸火力覆盖宽阔正面，集中打击密集敌群，使倒下的尸体进一步阻碍后续敌军推进。这套战术由维瑞迪姆小队在野兽战争中创立，用于对抗欧克大军，后来成为针对多种敌人的反群集战术，尤其适合迎战泰伦。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0116,462,圣锤战术最早是由布朗托斯连长在拉科尔九号上对泰伦使用的。圣锤战术包括使用兰德掠袭者来吸引更大的敌人，然后使用动力武器与他们进行近距离战斗。,布朗托斯连长最早在拉科尔九号迎战泰伦时使用圣锤战术：先以兰德掠袭者战车牵制大型敌人，再用动力武器与其近身交战。,英文 claim larger enemies 用法含糊，按原译所指吸引／牵制大型敌人处理；不擅自补入具体撞击或伏击步骤。
A0462-B0118,462,净化战术是由智库德尔·阿休开发的，涉及对外星部落的领导人物施加最大的力量。,净化战术由智库员德尔·阿休创立，集中最强大的力量打击异形军队的首领。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0120,462,"巡猎战术最初由贾根可汗创建，用于对抗女巫邪教。Venator战术包括使用自行车和其他快速单位进行长时间的战斗，由固定在特定位置的较重单位引导火力。敌人最终被一次包围机动击中，该机动会向后摆动以包围他们。Due to its vast mission the Deathwatch is scattered across the galaxy on Watch Fortresses and Watch Stations, the largest of which is Talasa Prime. Until the formation of the Great Rift Talasa Prime was also the primary training station of the Deathwatch, but the dangerous travel from Imperium Nihilus has seen this disrupted. It is said that within Imperium Nihilus such duties now fall to Fort Excalibris and Praefex Venatoris. Each Watch Fortress is a sovereign domain standing sentinel over an area of the Imperium, each having its own number of Watch Stations. The structure of most Watch Fortresses are identical, with ultimate responsibilities falling to a Watch Commander who is supported be a strategic council of Watch Captains and Lieutenants. Each Watch Fortress also has its own Librarius, Apothecarium, Armoury, and Reclusiam. The Watch Fortress Commander is the highest level of command within the Deathwatch, no single Chapter Master exists due to the vastness of their missions and deployments. However initially during the War of the Beast, the Deathwatch did have a Chapter Master.由于其庞大的任务，死亡守望分散在银河系的守望堡垒和守望空间站，其中最大的是塔拉萨一号。在大裂隙形成之前，塔拉萨一号也是死亡守望的主要训练空间站，但从帝国暗面出发的危险航行已经中断了这一点。据说，在帝国暗面内，这些职责现在落到了神剑堡和狩猎统领。每个守望要塞都是一个主权领地，守卫着帝国的一个地区，每个要塞都有自己的守望太空站。大多数守望堡垒的结构都是相同的，最终责任落在守望指挥官身上，由守望连长和副官组成的战略议会为其提供支持。每个守望堡垒都有自己的智库馆、药剂部、军械库和隐修室。守望要塞指挥官是死亡守望中的最高指挥级别，由于任务和部署的广泛性，没有单一的战团长存在。然而，最初在野兽战争期间，死亡守望确实有一个战团长。","巡猎战术最初由贾根可汗创立，用于对抗巫灵教团。摩托及其他快速部队展开持续的机动作战、牵引敌方火力，较重的部队则固守特定位置，充当战术支点。机动部队最终回转合围，将敌人包围。

Due to its vast mission the Deathwatch is scattered across the galaxy on Watch Fortresses and Watch Stations, the largest of which is Talasa Prime. Until the formation of the Great Rift Talasa Prime was also the primary training station of the Deathwatch, but the dangerous travel from Imperium Nihilus has seen this disrupted. It is said that within Imperium Nihilus such duties now fall to Fort Excalibris and Praefex Venatoris. Each Watch Fortress is a sovereign domain standing sentinel over an area of the Imperium, each having its own number of Watch Stations. The structure of most Watch Fortresses are identical, with ultimate responsibilities falling to a Watch Commander who is supported be a strategic council of Watch Captains and Lieutenants. Each Watch Fortress also has its own Librarius, Apothecarium, Armoury, and Reclusiam. The Watch Fortress Commander is the highest level of command within the Deathwatch, no single Chapter Master exists due to the vastness of their missions and deployments. However initially during the War of the Beast, the Deathwatch did have a Chapter Master.

死亡守望肩负的任务范围极广，因此分驻银河各地的守望堡垒与守望站，其中规模最大的是塔拉萨主星。大裂隙出现前，它也是主要训练基地；帝国暗面通往此地的航路变得危险后，这一体系受到破坏。据说，暗面内的训练职责如今由神剑堡与狩猎统领堡承担。每座守望堡垒都是自主领地，警戒帝国的一片区域，下辖若干守望站。大多数堡垒组织相仿，守望指挥官负最终责任，由守望连长及副官组成的战略议会辅佐，另设智库、药剂部、军械库和隐修室。由于任务和部署遍布银河，守望堡垒指挥官已是死亡守望的最高指挥层级，并无一位统辖全军的战团长；不过，野兽战争初创时确曾设有这一职位。",Praefex Venatoris 与 Fort Excalibris 在这里是承担训练职责的地点，原“狩猎统领”容易误读为个人职务，暂加堡。混合段落中的原英文已完整保留并分段。
A0462-B0124,462,每个守望要塞通常有五个守望连队，每个守望连队由一名守望连长领导。大多数守望连队都比他们的圣典阿斯塔特同行小，通常不超过50个战斗兄弟。然后，每个守望连队进一步分为杀戮小队，这是由来自不同战团的战士组成的专业战斗单位。这些小队的组成非常灵活，取决于他们的具体任务。没有两支杀戮小队是完全相同的，一支由穿着终结者盔甲的老兵组成，另一支可能由骑摩托的人和装备跳跃背包的步兵组成。,每座守望堡垒通常下辖五个守望连，各由一名守望连长指挥。多数守望连比《阿斯塔特圣典》规定的标准连更小，通常不超过五十名战斗兄弟。连下再划分为杀戮小队，由来自不同战团的战士组成专门作战单位。小队编成完全服从任务，极为灵活：一队可能全是身穿终结者护甲的老兵，另一队则混编摩托骑手与配有跳跃背包的步兵。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0126,462,死亡守望与审判庭的攘外修会高度整合，充当其军事辅军，并经常与审判庭一起工作。,死亡守望与异形审判庭紧密结合，充当其军事分支，经常与该庭审判官并肩行动。,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0130,462,Watch Master 守望大师,Watch Master 守望堡主,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0133,462,Deathwatch Chaplain 死亡守望牧师,Deathwatch Chaplain 死亡守望教士,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0135,462,Deathwatch Librarian 死亡守望智库,Deathwatch Librarian 死亡守望智库员,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0137,462,Deathwatch Techmarine 死亡守望技术军士,Deathwatch Techmarine 死亡守望科技战士,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0140,462,Deathwatch Dreadnought 死亡守望无畏,Deathwatch Dreadnought 死亡守望无畏机甲,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
A0462-B0150,462,Devastator Marine 毁灭者战士,Devastator Marine 破坏者战士,对照英文校顺中文；术语依核心术语表，未核官方者保留暂定状态。
