篇号,篇名,分类,状态,稿件路径,来源
342,鸦翼冠军 Ravenwing Champion,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0342.md,https://www.bilibili.com/opus/1032139185980440583
343,鸦翼旗手 Ravenwing Ancient,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0343.md,https://www.bilibili.com/opus/1031875363284713497
344,圣骑士 Paladin,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0344.md,https://www.bilibili.com/opus/1031035366471106568
345,纳夫拉基亚 Naufragia,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0345.md,https://www.bilibili.com/opus/1030761725502160900
346,迷影 Enigmatii,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0346.md,https://www.bilibili.com/opus/1022462667578671106
347,屠灭者 Interemptor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0347.md,https://www.bilibili.com/opus/1024792068861460482
348,内环骑士 Knights Cenobium,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0348.md,https://www.bilibili.com/opus/1026954477518716933
349,内环近卫 Inner Circle Companion,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0349.md,https://www.bilibili.com/opus/1024791695210840086
350,死翼骑士 Deathwing Knight,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0350.md,https://www.bilibili.com/opus/1021796741475729415
351,死翼指挥小队 Deathwing Command Squad,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0351.md,https://www.bilibili.com/opus/1021796672758349848
352,鸦翼老兵 Ravenwing Veteran,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0352.md,https://www.bilibili.com/opus/1032139709970644993
353,鸦翼黑骑士 Ravenwing Black Knight,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0353.md,https://www.bilibili.com/opus/1032139082897031186
354,鸦翼指挥小队 Ravenwing Command Squad,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0354.md,https://www.bilibili.com/opus/1032139254684188678
355,白疤 White Scars,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0355.md,https://www.bilibili.com/opus/1094499263547703304
356,怯薛 Keshig,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0356.md,https://www.bilibili.com/opus/1025492260197761047
357,风暴先知 Stormseer,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0357.md,https://www.bilibili.com/opus/1110978408805826576
358,黑檀怯薛 Ebon Keshig,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0358.md,https://www.bilibili.com/opus/1022462246688653313
359,猎鹰之爪 Falcon's Claw,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0359.md,https://www.bilibili.com/opus/1022838769293721600
360,死暗之子 Karaoghlanlar,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0360.md,https://www.bilibili.com/opus/1025491710457675847
361,黄金怯薛 Golden Keshig,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0361.md,https://www.bilibili.com/opus/1023297995751292931
362,VI - 太空野狼 Space Wolves,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0362.md,https://www.bilibili.com/opus/1058164995539337222
363,芬里斯祭司 Priests of Fenris,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0363.md,https://www.bilibili.com/opus/1031414092383911941
364,头狼 Great Wolf,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0364.md,https://www.bilibili.com/opus/1023298244863590419
365,英灵 Einherjar,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0365.md,https://www.bilibili.com/opus/1022462474306191369
366,狼主 Wolf Lord,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0366.md,https://www.bilibili.com/opus/1036937012307820547
367,符文牧师 Rune Priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0367.md,https://www.bilibili.com/opus/1032883456574488585
368,狼牧师 Wolf Priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0368.md,https://www.bilibili.com/opus/1036937089601503236
369,见习牧师 Initiate-Priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0369.md,https://www.bilibili.com/opus/1024420463996043268
370,钢铁牧师 Iron Priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0370.md,https://www.bilibili.com/opus/1025142697089826822
371,孤狼 Lone Wolve,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0371.md,https://www.bilibili.com/opus/1026559503739387959
372,死誓者 Deathsworn,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0372.md,https://www.bilibili.com/opus/1021796479509987337
373,长牙 Long Fang,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0373.md,https://www.bilibili.com/opus/1026559589662851078
374,灰色猎手 Grey Hunter,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0374.md,https://www.bilibili.com/opus/1023599339277123601
375,天爪 Skyclaw,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0375.md,https://www.bilibili.com/opus/1034055870970855430
376,血爪 Blood Claw,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0376.md,https://www.bilibili.com/opus/1019189829497258017
377,瓦拉吉尔 Varagyr,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0377.md,https://www.bilibili.com/opus/1036603838837030918
378,野狼守卫 Wolf Guard,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0378.md,https://www.bilibili.com/opus/1036936934985826325
379,莫凯猎犬 Hounds of Morkai,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0379.md,https://www.bilibili.com/opus/1023969720076861458
380,灰色追猎者 Grey Stalker,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0380.md,https://www.bilibili.com/opus/1023599532555894785
381,灰色屠杀者 Grey Slayer,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0381.md,https://www.bilibili.com/opus/1023599472393846788
382,狼侦查 Wolf Scout,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0382.md,https://www.bilibili.com/opus/1036937171236290579
383,迅爪 Swiftclaw,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0383.md,https://www.bilibili.com/opus/1035086272234782725
384,雷狼骑兵 Thunderwolf Cavalry,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0384.md,https://www.bilibili.com/opus/1035980102183157762
385,狼矛 Wolfspear,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0385.md,https://www.bilibili.com/opus/1172433936192634887
386,VII - 帝国之拳 Imperial Fists,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0386.md,https://www.bilibili.com/opus/1095943746935062535
387,堡主 Castellan,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0387.md,https://www.bilibili.com/opus/1019533517063716864
388,破石者 Stonebreaker,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0388.md,https://www.bilibili.com/opus/1034371405017251857
389,胡斯卡尔亲卫 Huscarl,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0389.md,https://www.bilibili.com/opus/1023969952006144005
390,山阵卫队 Phalanx Warder,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0390.md,https://www.bilibili.com/opus/1031035804586082344
391,恐怖侦察兵 Terror Scout,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0391.md,https://www.bilibili.com/opus/1035979926122004483
392,神盾飞行员 Aegis Pilot,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0392.md,https://www.bilibili.com/opus/1018378797952532482
393,绯红之拳 Crimson Fists,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0393.md,https://www.bilibili.com/opus/1119452675663986713
394,天狮 Celestial Lions,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0394.md,https://www.bilibili.com/opus/1123081240128258068
395,凤凰之子 Sons of the Phoenix,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0395.md,https://www.bilibili.com/opus/1172132377989742611
396,医院骑士 Hospitallers,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0396.md,https://www.bilibili.com/opus/1210023713286651961
397,压制者 Subjugators,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0397.md,https://www.bilibili.com/opus/1210758161342922800
398,黑色圣堂 Black Templars,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0398.md,https://www.bilibili.com/opus/1110133206489759744
399,至高元帅 High Marshal,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0399.md,https://www.bilibili.com/opus/1119130359805509683
400,圣剑兄弟会 Sword Brethren,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0400.md,https://www.bilibili.com/opus/1035086332362227712
401,十字军小队 Crusader Squad,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0401.md,https://www.bilibili.com/opus/1021090700406554632
402,进阶者 Initiate,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0402.md,https://www.bilibili.com/opus/1024420360906342409
403,IX - 圣血天使 Blood Angels,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0403.md,https://www.bilibili.com/opus/1097441230215708679
404,英勇天使 Erelim,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0404.md,https://www.bilibili.com/opus/1022838442848944134
405,死亡连队教士 Death Company Chaplain,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0405.md,https://www.bilibili.com/opus/1021347887328526343
406,圣血祭司 Sanguinary Priest,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0406.md,https://www.bilibili.com/opus/1033269887631360040
407,圣血旗手 Sanguinary Ancient,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0407.md,https://www.bilibili.com/opus/1033269664326615044
408,圣骸布守护者 Guardian of the Shroud,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0408.md,https://www.bilibili.com/opus/1023599588382081031
409,圣血天使第八连队 8th Company of the Blood Angels,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0409.md,https://www.bilibili.com/opus/1219208071374438401
410,破晓者 Dawnbreaker,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0410.md,https://www.bilibili.com/opus/1021347603860684801
411,死亡连队 Death Company,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0411.md,https://www.bilibili.com/opus/1021347788570492932
412,燃烧之眼 Burning Eyes,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0412.md,https://www.bilibili.com/opus/1019533225003843589
413,天使之泪 Angel's Tears,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0413.md,https://www.bilibili.com/opus/1019533362427068416
414,至高军势 High Host,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0414.md,https://www.bilibili.com/opus/1023969604110647314
415,巴尔剑士 Baalite Bladesmen,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0415.md,https://www.bilibili.com/opus/1018747731350388758
416,圣血守卫 Sanguinary Guard,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0416.md,https://www.bilibili.com/opus/1033269810355503127
417,猩红圣骑士 Crimson Paladin,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0417.md,https://www.bilibili.com/opus/1021090605939294210
418,撕肉者 Flesh Tearers,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0418.md,https://www.bilibili.com/opus/1119463778133475329
419,饮血者 Blood Drinkers,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0419.md,https://www.bilibili.com/opus/1123794470950666245
420,食肉者 Flesh Eaters,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0420.md,https://www.bilibili.com/opus/1123470656193691666
421,X - 钢铁之手 Iron Hands,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0421.md,https://www.bilibili.com/opus/1093788081400578089
422,阿维尼氏族 Clan Avernii,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0422.md,https://www.bilibili.com/opus/1119056314587152469
423,钢铁领主 Iron Thane,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0423.md,https://www.bilibili.com/opus/1025142907545321478
424,钢铁圣父 Iron Father,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0424.md,https://www.bilibili.com/opus/1112059185806180392
425,莫洛克 Morlock,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0425.md,https://www.bilibili.com/opus/1030340655519367203
426,美杜莎不朽者 Medusan Immortal,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0426.md,https://www.bilibili.com/opus/1030340277560148006
427,钢铁神父 Steel Confessors,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0427.md,https://www.bilibili.com/opus/1210750426061734001
428,XIII - 极限战士 Ultramarines,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0428.md,https://www.bilibili.com/opus/1099352984622465077
429,奥特拉玛 Ultramar,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0429.md,https://www.bilibili.com/opus/1135082473934290966
430,马库拉格领主 Lord Macragge,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0430.md,https://www.bilibili.com/opus/1113194732217958421
431,冠军决斗者 Champion Duellist,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0431.md,https://www.bilibili.com/opus/1019945185407139849
432,极限战士荣誉卫队 Ultramarines Honour Guard,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0432.md,https://www.bilibili.com/opus/1036357896117420037
433,四方领主的受选者 Chosen of the Tetrarchy,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0433.md,https://www.bilibili.com/opus/1020226999689412609
434,常胜卫队 Victrix Guard,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0434.md,https://www.bilibili.com/opus/1113572732291776513
435,常胜军 Invictarii,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0435.md,https://www.bilibili.com/opus/1025142606926970914
436,辉脊 Fulmentarus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0436.md,https://www.bilibili.com/opus/1023297896971239463
437,后备军 Evocati,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0437.md,https://www.bilibili.com/opus/1022838571694817283
438,传喻者 Locutarus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0438.md,https://www.bilibili.com/opus/1026559366326648841
439,禁卫军攻坚者 Praetorian Breacher,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0439.md,https://www.bilibili.com/opus/1031413924903256081
440,泰伦战争老兵 Tyrannic War Veteran,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0440.md,https://www.bilibili.com/opus/1035980673450508312
441,复仇女神毁灭者 Nemesis Destroyer,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0441.md,https://www.bilibili.com/opus/1030761888761249795
442,阿拉里斯飞行员 Alaris Pilot,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0442.md,https://www.bilibili.com/opus/1018378686247731205
443,白色执政官 White Consuls,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0443.md,https://www.bilibili.com/opus/1109477257622061065
444,银色颅骨 Silver Skulls,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0444.md,https://www.bilibili.com/opus/1123846216719794176
445,彩虹勇士 Rainbow Warriors,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0445.md,https://www.bilibili.com/opus/1123842523075182594
446,火焰天使 Fire Angels,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0446.md,https://www.bilibili.com/opus/1210015995258732553
447,新星战士 Novamarines,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0447.md,https://www.bilibili.com/opus/1210379345207492642
448,裂隙堡主 Castellans of the Rift,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0448.md,https://www.bilibili.com/opus/1212884170154442818
449,咆哮狮鹫 Howling Griffons,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0449.md,https://www.bilibili.com/opus/1216239389999366162
450,帝皇之镰 Scythes of the Emperor,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0450.md,https://www.bilibili.com/opus/1221063501548617761
451,XVIII - 火蜥蜴 Salamanders,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0451.md,https://www.bilibili.com/opus/1103382166414295064
452,铸造之父 Forgefather,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0452.md,https://www.bilibili.com/opus/1115350320465051670
453,火龙 Firedrake,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0453.md,https://www.bilibili.com/opus/1022838910994087938
454,焚火者 Pyroclast,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0454.md,https://www.bilibili.com/opus/1031875268836327431
455,净化者 Sanctifier,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0455.md,https://www.bilibili.com/opus/1032883636956823584
456,XIX - 暗鸦守卫 Raven Guard,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0456.md,https://www.bilibili.com/opus/1060007708303818820
457,拯救者 Deliverer,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0457.md,https://www.bilibili.com/opus/1022076588669272064
458,暗影守望 Shadow Warden,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0458.md,https://www.bilibili.com/opus/1033598096153509889
459,摩尔戴斯 Mor Deythan,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0459.md,https://www.bilibili.com/opus/1030340376366415926
460,黑暗狂怒 Dark Furies,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0460.md,https://www.bilibili.com/opus/1021090906575470614
461,暗影鸟 Shadow Bird,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0461.md,https://www.bilibili.com/opus/1033597924344332292
462,死亡守望 Deathwatch,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0462.md,https://www.bilibili.com/opus/1122007146083385376
463,守望连长 Watch Captain,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0463.md,https://www.bilibili.com/opus/1122044065603387415
464,灰骑士 Grey Knights,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0464.md,https://www.bilibili.com/opus/1062997821628612617
465,至高大导师 Supreme Grand Master,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0465.md,https://www.bilibili.com/opus/1147923176319090693
466,灰骑士见习者 Grey Knight Novitiates,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0466.md,https://www.bilibili.com/opus/1023599403690098692
467,兄弟会连长 Brother-Captain,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0467.md,https://www.bilibili.com/opus/1147924073987178512
468,暴风之刃 Tempest Blade,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0468.md,https://www.bilibili.com/opus/1035458388209696769
469,内政部 Adeptus Administratum,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0469.md,https://www.bilibili.com/opus/1123850245375000581
470,计校部 Departmento Exacta,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0470.md,https://www.bilibili.com/opus/1138737645747175424
471,分级部 Departmento Gradio,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0471.md,https://www.bilibili.com/opus/1139879677556424704
472,传染部 Departmento Contagio,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0472.md,https://www.bilibili.com/opus/1139380628101267457
473,流程部 Departmento Processium,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0473.md,https://www.bilibili.com/opus/1139878848618299398
474,终虑部 Department of Final Consideration,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0474.md,https://www.bilibili.com/opus/1139381542942932992
475,医疗部 Officio Medicae,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0475.md,https://www.bilibili.com/opus/1139374722541158406
476,农业部 Officio Agricultae,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0476.md,https://www.bilibili.com/opus/1139880420538580998
477,情报部 Logis Strategos,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0477.md,https://www.bilibili.com/opus/1140109617226842114
478,阐释修会 Order Elucidatum,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0478.md,https://www.bilibili.com/opus/1144977266841747477
479,暴风修会 Ordo Tempestus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0479.md,https://www.bilibili.com/opus/1143490843110277126
480,后勤问询部 Questio Logisticus,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0480.md,https://www.bilibili.com/opus/1140111412503248900
481,帝国档案部 Estate Imperium,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0481.md,https://www.bilibili.com/opus/1137918054310608905
482,刺客庭 Officio Assassinorum,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0482.md,https://www.bilibili.com/opus/1143240120085774355
483,文士 Literati,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0483.md,https://www.bilibili.com/opus/1143525172732493828
484,帝国舰队 Imperial Fleet,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0484.md,https://www.bilibili.com/opus/1143866974831378433
485,商船舰队 Merchant Fleet,通用概念,中文行文已逐段精校，部分术语仍为暂定,正文/01-通用概念/0485.md,https://www.bilibili.com/opus/1138732530390794261
588,人类之主 - 帝皇(上) Emperor of Mankind,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0588.md,https://www.bilibili.com/opus/980320358295928870
589,欧良尼乌斯·佩松,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0589.md,https://www.bilibili.com/opus/1052973698629238789
590,尔达 Erda,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0590.md,https://www.bilibili.com/opus/1052973780250394643
591,阿利维亚·苏雷卡,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0591.md,https://www.bilibili.com/opus/1053346832515596295
592,约翰·格拉马迪库斯 John Grammaticus,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0592.md,https://www.bilibili.com/opus/1070767267094986752
593,掌印者马卡多 Malcador the Sigillite,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0593.md,https://www.bilibili.com/opus/1055305556674215936
594,艾尔·温特,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0594.md,https://www.bilibili.com/opus/1062997886052073479
595,以西结·赛丹 Ezekiel Sedayne,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0595.md,https://www.bilibili.com/opus/1056407632396419079
596,阿玛尔·阿斯塔特,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0596.md,https://www.bilibili.com/opus/1055305685486534692
597,乌利亚·奥拉泰尔 Uriah Olathaire,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0597.md,https://www.bilibili.com/opus/1080496733830512646
598,尤弗拉蒂·琪乐,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0598.md,https://www.bilibili.com/opus/1206954529700970566
599,科赫兰·赫苏拉 Cohran Hursula,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0599.md,https://www.bilibili.com/opus/1182064391017725952
600,天使 The Angel,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0600.md,https://www.bilibili.com/opus/1104879525174444033
601,尤根·坦巴 Eugan Temba,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0601.md,https://www.bilibili.com/opus/1190652324166500356
602,乌什坦 Ushotan,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0602.md,https://www.bilibili.com/opus/1087802176843022338
603,阿里克·塔兰尼斯,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0603.md,https://www.bilibili.com/opus/1105346065984389121
604,纳夏·沙汉森 Nashir Sahansun,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0604.md,https://www.bilibili.com/opus/1136783856544776258
605,菲杜斯·克里普特曼 Fidus Kryptman,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0605.md,https://www.bilibili.com/opus/1142394883379560453
606,格雷戈·艾森霍恩 Gregor Eisenhorn,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0606.md,https://www.bilibili.com/opus/1108730186692558880
607,阿德拉斯蒂娅 Adrastia,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0607.md,https://www.bilibili.com/opus/1209343390520442903
608,莱昂·奇拉斯特斯 Leon ­Chirastes,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0608.md,https://www.bilibili.com/opus/1208168308931559473
609,佩里尼奥 Perigino,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0609.md,https://www.bilibili.com/opus/1208608955395211288
610,贝利萨留斯·考尔 Belisarius Cawl,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0610.md,https://www.bilibili.com/opus/988020775087767554
611,阿坎·兰德 Arkhan Land,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0611.md,https://www.bilibili.com/opus/1082418551322574854
612,扎格列欧斯·凯恩 Zagreus Kane,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0612.md,https://www.bilibili.com/opus/1188376455383351336
613,伊普露维恩·马克西姆 Ipluvien Maximal,人类帝国,中文行文已逐段精校，部分术语仍为暂定,正文/02-人类帝国/0613.md,https://www.bilibili.com/opus/1197622368919355414
